id,status,date,time
1,1,2021-07-09,20:38:20
2,0,2021-07-09,21:07:00
3,1,2021-07-09,21:26:55
4,0,2021-07-09,21:26:57
5,1,2021-07-10,13:07:10
6,0,2021-07-10,13:07:11
7,1,2021-07-10,13:07:11
8,0,2021-07-10,13:07:11
9,1,2021-07-10,13:07:11
10,0,2021-07-10,13:07:11
11,1,2021-07-10,13:07:11
12,0,2021-07-10,13:07:11
13,1,2021-07-10,13:07:11
14,0,2021-07-10,13:07:11
15,1,2021-07-10,13:07:11
16,0,2021-07-10,13:07:11
17,1,2021-07-10,13:07:11
18,0,2021-07-10,13:07:11
19,1,2021-07-10,13:07:11
20,0,2021-07-10,13:07:12
21,1,2021-07-10,13:07:12
22,0,2021-07-10,13:07:12
23,1,2021-07-10,13:07:12
24,0,2021-07-10,13:07:12
25,1,2021-07-10,13:07:12
26,0,2021-07-10,13:07:12
27,1,2021-07-10,13:07:12
28,0,2021-07-10,13:07:12
29,1,2021-07-10,13:07:12
30,0,2021-07-10,13:07:12
31,1,2021-07-10,13:07:12
32,0,2021-07-10,13:07:12
33,1,2021-07-10,13:07:13
34,0,2021-07-10,13:07:13
35,1,2021-07-10,13:07:13
36,0,2021-07-10,13:07:13
37,1,2021-07-10,13:07:13
38,0,2021-07-10,13:07:13
39,1,2021-07-10,13:07:13
40,0,2021-07-10,13:07:14
41,1,2021-07-10,13:07:14
42,0,2021-07-10,13:07:14
43,1,2021-07-10,13:07:14
44,0,2021-07-10,13:07:14
45,1,2021-07-10,13:07:14
46,0,2021-07-10,13:07:14
47,1,2021-07-10,13:07:14
48,0,2021-07-10,13:07:14
49,1,2021-07-10,13:07:14
50,0,2021-07-10,13:07:14
51,1,2021-07-10,13:07:15
52,0,2021-07-10,13:07:15
53,1,2021-07-10,13:07:15
54,0,2021-07-10,13:07:15
55,1,2021-07-10,13:07:15
56,0,2021-07-10,13:07:15
57,1,2021-07-10,13:07:15
58,0,2021-07-10,13:07:15
59,1,2021-07-10,13:07:16
60,0,2021-07-10,13:07:16
61,1,2021-07-10,13:07:16
62,0,2021-07-10,13:07:16
63,1,2021-07-10,13:07:16
64,0,2021-07-10,13:07:16
65,1,2021-07-10,13:07:16
66,0,2021-07-10,13:07:16
67,1,2021-07-10,13:07:17
68,0,2021-07-10,13:07:17
69,1,2021-07-10,13:07:17
70,0,2021-07-10,13:07:17
71,1,2021-07-10,13:07:17
72,0,2021-07-10,13:07:17
73,1,2021-07-10,13:07:17
74,0,2021-07-10,13:07:17
75,1,2021-07-10,13:07:18
76,0,2021-07-10,13:07:18
77,1,2021-07-10,13:07:18
78,0,2021-07-10,13:07:18
79,1,2021-07-10,13:07:18
80,0,2021-07-10,13:07:18
81,1,2021-07-10,13:07:19
82,0,2021-07-10,13:07:19
83,1,2021-07-10,13:07:19
84,0,2021-07-10,13:07:19
85,1,2021-07-10,13:07:19
86,0,2021-07-10,13:07:19
87,1,2021-07-10,13:07:19
88,0,2021-07-10,13:07:19
89,1,2021-07-10,13:07:19
90,0,2021-07-10,13:07:20
91,1,2021-07-10,13:07:20
92,0,2021-07-10,13:07:20
93,1,2021-07-10,13:07:20
94,0,2021-07-10,13:07:20
95,1,2021-07-10,13:07:20
96,0,2021-07-10,13:07:20
97,1,2021-07-10,13:07:21
98,0,2021-07-10,13:07:21
